Ion	Ion_Energy_MeV	Projected_Range_um
protons	0.01	0.1934
protons	0.011	0.2081
protons	0.012	0.2222
protons	0.013	0.236
protons	0.014	0.2494
protons	0.015	0.2624
protons	0.016	0.2752
protons	0.017	0.2877
protons	0.018	0.2999
protons	0.02	0.3237
protons	0.0225	0.3523
protons	0.025	0.3799
protons	0.0275	0.4066
protons	0.03	0.4326
protons	0.0325	0.458
protons	0.035	0.4829
protons	0.0375	0.5073
protons	0.04	0.5313
protons	0.045	0.5783
protons	0.05	0.6244
protons	0.055	0.6697
protons	0.06	0.7144
protons	0.065	0.7588
protons	0.07	0.803
protons	0.08	0.8912
protons	0.09	0.9799
protons	0.1	1.07
protons	0.11	1.16
protons	0.12	1.25
protons	0.13	1.35
protons	0.14	1.45
protons	0.15	1.55
protons	0.16	1.65
protons	0.17	1.76
protons	0.18	1.86
protons	0.2	2.09
protons	0.225	2.39
protons	0.25	2.7
protons	0.275	3.04
protons	0.3	3.39
protons	0.325	3.76
protons	0.35	4.15
protons	0.375	4.56
protons	0.4	4.98
protons	0.45	5.88
protons	0.5	6.84
protons	0.55	7.87
protons	0.6	8.95
protons	0.65	10.1
protons	0.7	11.3
protons	0.8	13.87
protons	0.9	16.66
protons	1	19.66
protons	1.1	22.83
protons	1.2	26.15
protons	1.3	29.65
protons	1.4	33.34
protons	1.5	37.21
protons	1.6	41.26
protons	1.7	45.5
protons	1.8	49.92
protons	2	59.3
protons	2.25	72.03
protons	2.5	85.86
protons	2.75	100.79
protons	3	116.79
protons	3.25	133.85
protons	3.5	151.96
protons	3.75	171.09
protons	4	191.25
protons	4.5	234.53
protons	5	281.78
protons	5.5	332.9
protons	6	387.85
protons	6.5	446.56
protons	7	508.99
protons	8	644.68
protons	9	794.77
protons	10	958.96
protons	11	1140
protons	12	1330
protons	13	1530
protons	14	1750
protons	15	1980
protons	16	2230
protons	17	2490
protons	18	2760
protons	20	3330
protons	22.5	4120
protons	25	4990
protons	27.5	5930
protons	30	6940
Li	0.01	0.1008
Li	0.011	0.1113
Li	0.012	0.1217
Li	0.013	0.1321
Li	0.014	0.1424
Li	0.015	0.1527
Li	0.016	0.1629
Li	0.017	0.1731
Li	0.018	0.1832
Li	0.02	0.2032
Li	0.0225	0.2279
Li	0.025	0.2521
Li	0.0275	0.2759
Li	0.03	0.2993
Li	0.0325	0.3222
Li	0.035	0.3446
Li	0.0375	0.3667
Li	0.04	0.3883
Li	0.045	0.4305
Li	0.05	0.4712
Li	0.055	0.5106
Li	0.06	0.5487
Li	0.065	0.5858
Li	0.07	0.6217
Li	0.08	0.6908
Li	0.09	0.7566
Li	0.1	0.8195
Li	0.11	0.8799
Li	0.12	0.9381
Li	0.13	0.9942
Li	0.14	1.05
Li	0.15	1.1
Li	0.16	1.15
Li	0.17	1.2
Li	0.18	1.25
Li	0.2	1.34
Li	0.225	1.45
Li	0.25	1.56
Li	0.275	1.66
Li	0.3	1.75
Li	0.325	1.84
Li	0.35	1.93
Li	0.375	2.01
Li	0.4	2.09
Li	0.45	2.24
Li	0.5	2.38
Li	0.55	2.52
Li	0.6	2.65
Li	0.65	2.77
Li	0.7	2.89
Li	0.8	3.13
Li	0.9	3.35
Li	1	3.57
Li	1.1	3.78
Li	1.2	3.99
Li	1.3	4.19
Li	1.4	4.4
Li	1.5	4.6
Li	1.6	4.81
Li	1.7	5.01
Li	1.8	5.21
Li	2	5.62
Li	2.25	6.14
Li	2.5	6.67
Li	2.75	7.22
Li	3	7.78
Li	3.25	8.35
Li	3.5	8.94
Li	3.75	9.54
Li	4	10.17
Li	4.5	11.46
Li	5	12.84
Li	5.5	14.28
Li	6	15.8
Li	6.5	17.4
Li	7	19.07
Li	8	22.64
Li	9	26.5
Li	10	30.66
C	0.01	0.0432
C	0.011	0.0473
C	0.012	0.0515
C	0.013	0.0556
C	0.014	0.0597
C	0.015	0.0638
C	0.016	0.0679
C	0.017	0.072
C	0.018	0.0761
C	0.02	0.0843
C	0.0225	0.0944
C	0.025	0.1045
C	0.0275	0.1145
C	0.03	0.1244
C	0.0325	0.1343
C	0.035	0.1441
C	0.0375	0.1538
C	0.04	0.1635
C	0.045	0.1827
C	0.05	0.2016
C	0.055	0.2204
C	0.06	0.2389
C	0.065	0.2572
C	0.07	0.2753
C	0.08	0.3108
C	0.09	0.3455
C	0.1	0.3794
C	0.11	0.4126
C	0.12	0.4452
C	0.13	0.4771
C	0.14	0.5084
C	0.15	0.5391
C	0.16	0.5693
C	0.17	0.599
C	0.18	0.6282
C	0.2	0.6851
C	0.225	0.7538
C	0.25	0.8198
C	0.275	0.8834
C	0.3	0.9448
C	0.325	1
C	0.35	1.06
C	0.375	1.12
C	0.4	1.17
C	0.45	1.27
C	0.5	1.37
C	0.55	1.47
C	0.6	1.56
C	0.65	1.64
C	0.7	1.73
C	0.8	1.88
C	0.9	2.03
C	1	2.17
C	1.1	2.31
C	1.2	2.43
C	1.3	2.56
C	1.4	2.68
